Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.37,-.53,-.24,-.31,-.07,-.17,-.20,-.28,-.24,-.33,-.44,-.41,-.30,***,***,-.21,-.21,-.34
1881,-.32,-.23,-.05,-.01,.02,-.34,.07,-.05,-.27,-.45,-.38,-.25,-.19,-.20,-.32,-.01,-.10,-.36
1882,.25,.20,.01,-.31,-.24,-.29,-.29,-.17,-.26,-.52,-.35,-.70,-.22,-.19,.07,-.18,-.25,-.38
1883,-.59,-.67,-.16,-.31,-.26,-.12,-.06,-.23,-.35,-.17,-.45,-.16,-.29,-.34,-.65,-.25,-.14,-.32
1884,-.18,-.12,-.65,-.60,-.37,-.42,-.45,-.52,-.45,-.45,-.58,-.48,-.44,-.41,-.15,-.54,-.46,-.49
1885,-1.02,-.46,-.24,-.50,-.59,-.45,-.34,-.42,-.40,-.37,-.39,-.12,-.44,-.47,-.65,-.44,-.40,-.39
1886,-.75,-.84,-.72,-.38,-.34,-.38,-.15,-.43,-.34,-.32,-.40,-.22,-.44,-.43,-.57,-.48,-.32,-.35
1887,-1.09,-.71,-.44,-.39,-.26,-.21,-.25,-.55,-.21,-.49,-.28,-.44,-.44,-.43,-.67,-.36,-.34,-.33
1888,-.50,-.62,-.64,-.22,-.16,-.03,-.01,-.22,-.20,-.04,-.02,-.24,-.24,-.26,-.52,-.34,-.09,-.08
1889,-.29,.28,-.02,.15,-.04,-.07,-.09,-.21,-.31,-.42,-.62,-.55,-.18,-.16,-.08,.03,-.12,-.45
1890,-.64,-.58,-.48,-.25,-.36,-.16,-.23,-.39,-.36,-.11,-.63,-.47,-.39,-.40,-.59,-.36,-.26,-.36
1891,-.46,-.69,-.16,-.36,-.16,-.12,-.12,-.13,-.08,-.28,-.53,-.04,-.26,-.30,-.54,-.22,-.12,-.30
1892,-.50,-.16,-.67,-.45,-.24,-.06,-.38,-.33,-.21,-.28,-.82,-.65,-.40,-.35,-.24,-.45,-.26,-.44
1893,-1.52,-.98,-.32,-.30,-.43,-.19,-.14,-.34,-.29,-.29,-.34,-.62,-.48,-.48,-1.05,-.35,-.22,-.31
1894,-.92,-.43,-.22,-.55,-.27,-.41,-.21,-.28,-.34,-.28,-.49,-.36,-.40,-.42,-.66,-.34,-.30,-.37
1895,-.71,-.82,-.51,-.19,-.31,-.21,-.19,-.28,-.06,-.09,-.13,-.23,-.31,-.32,-.63,-.34,-.23,-.10
1896,-.36,-.19,-.50,-.61,-.17,.07,.00,-.11,-.13,.04,-.21,-.21,-.20,-.20,-.26,-.43,-.01,-.10
1897,-.40,-.42,-.40,-.05,.13,-.06,.04,-.07,-.07,-.16,-.26,-.29,-.17,-.16,-.35,-.11,-.03,-.16
1898,.04,-.45,-.81,-.29,-.29,-.09,-.12,-.18,-.18,-.37,-.51,-.27,-.29,-.29,-.23,-.46,-.13,-.35
1899,-.13,-.65,-.60,-.24,-.25,-.36,-.18,-.07,-.05,.04,.35,-.47,-.22,-.20,-.35,-.36,-.20,.11
1900,-.62,-.15,.05,-.10,-.04,-.09,-.12,-.08,-.03,.23,-.12,-.03,-.09,-.13,-.41,-.03,-.10,.02
1901,-.33,-.10,.27,.10,-.11,.01,.01,-.16,-.28,-.33,-.23,-.41,-.13,-.10,-.16,.09,-.05,-.28
1902,-.18,.01,-.39,-.39,-.39,-.37,-.33,-.29,-.34,-.30,-.46,-.60,-.34,-.32,-.19,-.39,-.33,-.37
1903,-.22,.11,-.15,-.46,-.43,-.45,-.44,-.56,-.50,-.50,-.43,-.57,-.38,-.39,-.24,-.35,-.48,-.47
1904,-.78,-.59,-.41,-.50,-.44,-.49,-.59,-.54,-.64,-.39,-.09,-.34,-.48,-.50,-.65,-.45,-.54,-.37
1905,-.41,-.82,-.23,-.45,-.29,-.28,-.21,-.24,-.19,-.27,.08,-.17,-.29,-.30,-.52,-.32,-.24,-.13
1906,-.56,-.54,-.21,.04,-.25,-.11,-.27,-.17,-.25,-.18,-.40,.02,-.24,-.26,-.42,-.14,-.19,-.28
1907,-.59,-.73,-.31,-.45,-.59,-.51,-.40,-.39,-.41,-.20,-.56,-.58,-.48,-.43,-.43,-.45,-.44,-.39
1908,-.55,-.28,-.71,-.48,-.30,-.31,-.36,-.57,-.31,-.45,-.63,-.56,-.46,-.46,-.47,-.50,-.41,-.47
1909,-.93,-.46,-.66,-.66,-.50,-.52,-.45,-.36,-.38,-.36,-.12,-.58,-.50,-.50,-.65,-.61,-.45,-.28
1910,-.36,-.38,-.50,-.42,-.30,-.45,-.39,-.41,-.44,-.32,-.59,-.82,-.45,-.43,-.44,-.41,-.42,-.45
1911,-.72,-.60,-.65,-.46,-.46,-.35,-.38,-.44,-.39,-.20,-.21,-.31,-.43,-.47,-.71,-.52,-.39,-.27
1912,-.35,-.17,-.61,-.17,-.12,-.14,-.53,-.78,-.83,-.85,-.52,-.57,-.47,-.45,-.28,-.30,-.48,-.73
1913,-.56,-.65,-.48,-.51,-.55,-.50,-.52,-.47,-.43,-.40,-.15,.10,-.43,-.48,-.60,-.51,-.49,-.33
1914,.17,-.11,-.36,-.40,-.19,-.23,-.35,-.28,-.31,-.02,-.23,-.06,-.20,-.19,.05,-.32,-.29,-.19
1915,-.27,-.10,-.24,.06,-.02,-.13,-.10,-.16,-.22,-.27,-.03,-.27,-.15,-.13,-.14,-.07,-.13,-.18
1916,-.10,-.17,-.39,-.35,-.37,-.51,-.34,-.38,-.50,-.36,-.47,-1.14,-.42,-.35,-.18,-.37,-.41,-.44
1917,-.55,-.69,-.76,-.65,-.74,-.50,-.33,-.41,-.32,-.64,-.33,-1.06,-.58,-.59,-.79,-.72,-.41,-.43
1918,-.70,-.47,-.26,-.60,-.50,-.46,-.35,-.38,-.27,-.06,-.23,-.57,-.40,-.44,-.74,-.45,-.40,-.18
1919,-.39,-.42,-.39,-.24,-.43,-.40,-.34,-.31,-.20,-.10,-.48,-.56,-.35,-.36,-.46,-.35,-.35,-.26
1920,-.16,-.30,-.01,-.21,-.22,-.27,-.26,-.32,-.36,-.41,-.46,-.72,-.31,-.29,-.34,-.15,-.28,-.41
1921,.18,-.10,-.12,-.18,-.26,-.16,-.04,-.30,-.18,-.02,-.10,-.14,-.12,-.17,-.21,-.19,-.16,-.10
1922,-.38,-.63,-.12,-.16,-.20,-.16,-.29,-.37,-.44,-.33,-.14,-.15,-.28,-.28,-.38,-.16,-.28,-.31
1923,-.19,-.47,-.39,-.53,-.40,-.25,-.29,-.28,-.18,.05,.15,.08,-.22,-.24,-.27,-.44,-.27,.01
1924,-.29,-.22,.02,-.29,-.06,-.20,-.22,-.27,-.23,-.24,.09,-.37,-.19,-.15,-.14,-.11,-.23,-.13
1925,-.29,-.39,-.24,-.16,-.22,-.26,-.26,-.19,-.05,-.09,.21,.22,-.14,-.19,-.35,-.21,-.24,.02
1926,.52,.18,.37,-.12,-.23,-.20,-.20,-.06,-.03,.06,.16,-.30,.01,.05,.30,.00,-.16,.07
1927,-.29,-.09,-.47,-.27,-.13,-.14,-.08,-.16,.02,.24,.10,-.37,-.14,-.13,-.23,-.29,-.13,.12
1928,.27,.09,-.23,-.31,-.17,-.32,-.11,-.19,-.16,-.08,.05,-.04,-.10,-.13,.00,-.24,-.20,-.07
1929,-.56,-.80,-.19,-.35,-.28,-.40,-.36,-.20,-.20,-.01,-.02,-.65,-.34,-.29,-.47,-.27,-.32,-.08
1930,-.12,-.20,.11,-.16,-.20,-.12,-.03,.01,-.02,.02,.44,.08,-.02,-.08,-.32,-.09,-.05,.14
1931,.00,-.24,-.06,-.20,-.14,.15,.07,.09,.16,.35,.25,.10,.04,.04,-.05,-.14,.10,.26
1932,.38,-.19,-.21,.09,-.10,-.14,-.15,-.09,.10,.14,-.33,-.21,-.06,-.03,.09,-.07,-.13,-.03
1933,-.19,-.31,-.32,-.17,-.26,-.32,-.14,-.15,-.28,-.18,-.25,-.55,-.26,-.23,-.23,-.25,-.20,-.24
1934,-.15,.32,-.28,-.30,.08,-.02,-.04,-.10,-.14,.12,.26,.18,-.01,-.07,-.13,-.17,-.05,.08
1935,-.40,.56,.03,-.35,-.29,-.15,-.05,-.07,-.06,.11,-.32,-.17,-.10,-.07,.11,-.21,-.09,-.09
1936,-.29,-.51,-.13,-.06,-.01,.04,.08,.02,.06,.07,.14,.14,-.04,-.06,-.32,-.07,.05,.09
1937,.08,.24,-.23,-.07,.12,.14,.15,.15,.28,.33,.24,.00,.12,.13,.16,-.06,.15,.29
1938,.35,.28,.34,.31,.03,-.06,-.02,.08,.15,.32,.31,-.14,.16,.17,.21,.23,.00,.26
1939,.03,-.01,-.24,-.07,.01,.00,.05,.08,.13,.08,.24,.79,.09,.01,-.04,-.10,.04,.15
1940,-.10,.14,.03,.28,.16,.16,.15,.07,.26,.29,.30,.36,.18,.21,.27,.16,.13,.29
1941,.18,.47,.12,.13,.24,.21,.25,.19,.10,.50,.18,.19,.23,.24,.34,.16,.22,.26
1942,.41,-.08,.00,.09,.16,.11,-.01,-.08,.11,.28,.26,.27,.13,.12,.17,.09,.01,.22
1943,-.09,.38,.00,.31,.23,-.07,-.02,.10,.14,.46,.36,.37,.18,.17,.19,.18,.00,.32
1944,.62,.44,.31,.18,.23,.17,.14,.16,.36,.44,.19,.00,.27,.30,.48,.24,.16,.33
1945,.11,-.06,.10,.29,.08,.08,.07,.28,.20,.24,.08,-.21,.11,.12,.02,.16,.14,.18
1946,.34,.09,.12,.32,.03,-.05,-.04,-.10,-.03,.02,.07,-.45,.03,.05,.08,.16,-.06,.02
1947,-.04,-.04,.28,.22,.06,.00,-.03,-.04,-.01,.40,.19,-.05,.08,.05,-.18,.19,-.02,.19
1948,.30,-.14,-.27,-.02,.17,.05,.01,.02,-.03,.08,.03,-.39,-.02,.01,.04,-.04,.03,.03
1949,.23,-.09,.04,-.02,.01,-.20,-.11,-.04,-.10,.07,.05,-.14,-.03,-.05,-.08,.01,-.12,.01
1950,-.29,-.27,.06,-.21,-.04,-.06,-.18,-.19,-.09,-.06,-.33,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.51,-.18,.07,.17,-.02,.09,.22,.34,.29,.08,.38,.05,.00,-.33,.02,.10,.24
1952,.17,.17,-.21,.18,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.04,.12,-.03
1953,.24,.37,.26,.41,.25,.25,.22,.18,.17,.27,.09,.23,.24,.23,.21,.30,.22,.18
1954,-.24,.00,-.16,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.01,.01,.00,-.08,-.05,.19
1955,.42,-.12,-.43,-.24,-.13,-.10,-.05,.07,-.02,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.10,-.23,-.25,-.22,-.26,-.22,-.29
1957,-.13,-.06,-.10,-.09,-.05,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.68,.28,.16,.02,.12,.04,.05,.13,.07,.08,.03,.18,.15,.16,.40,.10,.07,.06
1959,.24,.16,.33,.22,.04,.14,.05,.10,.13,-.04,.03,.10,.12,.13,.19,.20,.10,.04
1960,.15,.42,-.40,-.13,.03,.19,.09,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.05,-.02,-.03,.08,-.17,.09,.13,.29,.14,.10,.01
1962,.28,.36,.30,.22,.02,-.13,.10,.04,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.08
1963,.08,.50,-.11,.04,-.04,-.04,.10,.14,.13,.42,.43,.03,.14,.15,.23,-.04,.07,.33
1964,-.04,-.02,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.22,-.27,-.19,-.17,-.01,-.24,-.15,-.27
1965,-.02,-.37,-.09,-.26,-.13,-.20,-.18,-.20,-.20,-.02,.05,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.06,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,.00
1967,-.17,-.37,.23,.05,.21,-.06,.04,.06,-.03,.29,.04,.02,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,-.01,-.06,-.05,-.08,-.08,-.05,-.01,-.22,-.33,-.07,-.04,-.14,.12,-.07,-.09
1969,-.43,-.46,-.20,.03,.11,-.04,.06,.04,.04,.02,.14,.30,-.03,-.08,-.41,-.02,.02,.07
1970,-.03,.27,-.07,-.02,-.01,.01,-.05,-.05,-.05,-.20,.01,-.31,-.04,.01,.18,-.03,-.03,-.08
