Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.07,-.01,-.12,-.24,-.16,.07,-.04,-.14,.01,.06,-.04,***,***,-.02,-.11,-.06
1881,-.07,-.05,.10,.10,.09,-.05,-.07,-.02,-.03,.00,.01,.10,.01,.01,-.02,.10,-.04,-.01
1882,.08,.08,.08,-.01,-.03,-.15,-.04,.02,-.04,.04,.00,-.06,.00,.01,.09,.01,-.06,.00
1883,-.01,-.07,-.08,-.06,-.09,-.02,-.08,-.05,-.10,-.06,-.04,-.05,-.06,-.06,-.05,-.08,-.05,-.06
1884,-.08,-.05,-.10,-.21,-.31,-.29,-.21,-.06,-.11,-.06,-.10,-.15,-.14,-.14,-.06,-.21,-.19,-.09
1885,-.19,-.22,-.29,-.35,-.32,-.42,-.33,-.22,-.19,-.12,-.10,-.09,-.24,-.24,-.19,-.32,-.32,-.14
1886,-.14,-.19,-.16,-.19,-.15,-.32,-.21,-.18,-.14,-.24,-.14,-.28,-.20,-.18,-.14,-.17,-.24,-.17
1887,-.36,-.43,-.27,-.30,-.35,-.28,-.26,-.16,-.29,-.22,-.24,-.22,-.28,-.29,-.36,-.31,-.23,-.25
1888,-.20,-.13,-.21,-.19,-.29,-.31,-.20,-.10,-.04,.06,.07,.15,-.12,-.15,-.18,-.23,-.20,.03
1889,.09,.04,.13,.03,.02,-.13,-.06,-.19,-.17,-.09,-.05,-.03,-.03,-.02,.09,.06,-.13,-.10
1890,-.20,-.32,-.33,-.34,-.43,-.33,-.32,-.38,-.38,-.39,-.24,-.16,-.32,-.31,-.18,-.37,-.34,-.34
1891,-.20,-.25,-.20,-.19,-.17,-.28,-.22,-.22,-.23,-.15,-.10,-.05,-.19,-.20,-.20,-.18,-.24,-.16
1892,-.08,-.05,-.13,-.21,-.23,-.38,-.25,-.21,-.12,.00,-.03,-.11,-.15,-.15,-.06,-.19,-.28,-.05
1893,-.12,-.17,-.12,-.24,-.23,-.32,-.14,-.16,-.16,-.09,-.04,-.06,-.15,-.16,-.13,-.19,-.20,-.10
1894,-.15,-.18,-.25,-.37,-.38,-.41,-.28,-.23,-.25,-.19,-.06,-.09,-.24,-.23,-.13,-.33,-.31,-.17
1895,-.15,-.06,-.18,-.26,-.26,-.22,-.17,-.09,-.18,-.12,-.20,-.05,-.16,-.16,-.10,-.23,-.16,-.16
1896,-.07,-.06,-.03,-.01,-.15,-.29,-.04,.01,-.02,.09,.13,.13,-.03,-.04,-.06,-.06,-.11,.07
1897,.10,.08,.12,.01,-.15,-.16,-.07,-.11,-.09,-.09,-.09,-.12,-.05,-.03,.10,-.01,-.11,-.09
1898,-.09,-.15,-.22,-.33,-.32,-.29,-.32,-.35,-.25,-.31,-.25,-.19,-.26,-.25,-.12,-.29,-.32,-.27
1899,-.19,-.13,-.14,-.18,-.22,-.28,-.16,-.10,-.04,-.11,-.08,-.05,-.14,-.15,-.17,-.18,-.18,-.08
1900,-.10,.03,-.04,-.07,-.13,-.09,-.13,-.08,-.06,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.10,-.02
1901,-.10,-.12,-.14,-.15,-.18,-.24,-.29,-.24,-.17,-.26,-.13,-.15,-.18,-.18,-.10,-.16,-.26,-.19
1902,-.19,-.14,-.16,-.17,-.25,-.23,-.22,-.30,-.23,-.26,-.25,-.22,-.22,-.21,-.16,-.19,-.25,-.25
1903,-.23,-.22,-.29,-.35,-.35,-.39,-.27,-.35,-.50,-.47,-.43,-.45,-.36,-.34,-.22,-.33,-.34,-.46
1904,-.50,-.55,-.55,-.51,-.59,-.48,-.42,-.43,-.47,-.37,-.24,-.30,-.45,-.46,-.50,-.55,-.44,-.36
1905,-.26,-.34,-.19,-.19,-.28,-.27,-.29,-.16,-.16,-.20,-.19,-.06,-.22,-.23,-.30,-.22,-.24,-.18
1906,.03,-.03,-.15,-.13,-.26,-.26,-.17,-.21,-.31,-.22,-.34,-.32,-.20,-.17,-.02,-.18,-.22,-.29
1907,-.26,-.28,-.23,-.27,-.32,-.31,-.28,-.28,-.27,-.24,-.34,-.34,-.29,-.28,-.29,-.27,-.29,-.28
