Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.30,-.04,-.39,-.13,-.01,-.78,-.50,-.30,-.16,-.09,-.03,.05,.65
1881,-.08,-.19,.01,-.36,.10,-.06,-.89,-.45,-.22,.09,.12,-.04,-.07,.57
1882,-.11,-.22,.00,-.32,-.05,.02,-1.39,-.27,-.17,-.06,-.04,.02,.04,.61
1883,-.18,-.29,-.06,-.36,-.17,-.01,-.17,-.55,-.29,-.19,-.14,-.03,.07,.48
1884,-.29,-.44,-.14,-.61,-.15,-.14,-1.28,-.63,-.49,-.15,-.15,-.19,-.02,.63
1885,-.33,-.44,-.24,-.66,-.13,-.27,-1.49,-.68,-.47,-.08,-.19,-.33,-.15,.80
1886,-.31,-.44,-.20,-.57,-.20,-.21,-1.57,-.49,-.42,-.22,-.17,-.20,-.21,.57
1887,-.36,-.44,-.28,-.53,-.30,-.28,-1.74,-.50,-.31,-.30,-.29,-.27,-.26,.30
1888,-.18,-.24,-.12,-.42,.10,-.29,-1.28,-.42,-.27,.06,.13,-.31,-.23,.14
1889,-.11,-.18,-.03,-.30,.08,-.16,-.66,-.22,-.29,.01,.15,-.15,-.15,.43
1890,-.35,-.39,-.32,-.46,-.37,-.22,-1.11,-.55,-.28,-.28,-.46,-.17,-.27,.13
1891,-.22,-.26,-.19,-.43,-.07,-.21,-1.10,-.33,-.38,.00,-.15,-.18,-.24,-.18
1892,-.27,-.40,-.15,-.44,-.29,-.08,-1.13,-.65,-.19,-.33,-.25,.02,-.21,.07
1893,-.32,-.48,-.15,-.52,-.37,-.05,-.67,-.55,-.48,-.42,-.31,.07,-.20,-.06
1894,-.32,-.40,-.24,-.33,-.37,-.24,-.93,-.32,-.20,-.50,-.23,-.14,-.35,-.40
1895,-.24,-.31,-.16,-.41,-.09,-.26,-.65,-.52,-.28,-.16,-.02,-.19,-.32,-.60
1896,-.11,-.20,-.03,-.35,.10,-.15,-.86,-.36,-.24,.05,.15,-.14,-.13,.23
1897,-.11,-.17,-.05,-.36,.17,-.23,-.54,-.46,-.26,.13,.21,-.18,-.27,.38
1898,-.27,-.29,-.26,-.36,-.22,-.26,-1.14,-.23,-.25,-.19,-.25,-.27,-.21,.36
1899,-.18,-.22,-.14,-.25,-.13,-.18,-1.02,-.10,-.17,-.17,-.08,-.15,-.22,.56
1900,-.08,-.09,-.06,-.21,.17,-.30,-.53,-.15,-.17,.08,.26,-.28,-.29,.25
1901,-.16,-.13,-.18,-.16,-.04,-.30,-.39,-.10,-.16,-.07,-.02,-.27,-.34,.24
1902,-.28,-.34,-.22,-.53,-.04,-.35,-1.37,-.50,-.34,-.03,-.05,-.27,-.43,-.07
1903,-.37,-.38,-.36,-.47,-.28,-.38,-.26,-.42,-.57,-.24,-.32,-.35,-.40,-.49
1904,-.47,-.48,-.45,-.51,-.46,-.44,-.15,-.59,-.56,-.44,-.47,-.36,-.49,-1.32
1905,-.26,-.29,-.22,-.41,-.08,-.35,-.02,-.22,-.63,-.12,-.03,-.32,-.37,-.34
1906,-.22,-.24,-.20,-.26,-.18,-.23,-.24,-.06,-.40,-.22,-.15,-.20,-.22,-.71
1907,-.38,-.48,-.29,-.59,-.30,-.29,-.55,-.72,-.53,-.31,-.28,-.20,-.37,-1.20
1908,-.42,-.46,-.39,-.48,-.43,-.35,-.21,-.55,-.52,-.43,-.43,-.28,-.48,.67
1909,-.48,-.50,-.46,-.54,-.47,-.44,-.73,-.63,-.45,-.45,-.49,-.37,-.52,-.57
1910,-.43,-.45,-.42,-.42,-.48,-.38,-.57,-.24,-.50,-.49,-.47,-.33,-.45,.16
1911,-.44,-.43,-.45,-.43,-.42,-.48,-.29,-.42,-.48,-.43,-.41,-.43,-.53,.05
1912,-.36,-.47,-.24,-.60,-.18,-.36,-.52,-.79,-.51,-.28,-.07,-.36,-.29,-1.63
1913,-.34,-.43,-.25,-.44,-.27,-.35,-.48,-.33,-.51,-.40,-.12,-.28,-.40,-1.04
1914,-.15,-.20,-.10,-.25,-.06,-.17,-.34,-.16,-.29,-.13,.01,-.15,-.18,-.37
1915,-.14,-.15,-.12,-.24,.00,-.22,-.59,-.17,-.19,-.02,.01,-.14,-.23,-1.98
1916,-.36,-.42,-.30,-.37,-.44,-.23,-.46,-.54,-.25,-.50,-.38,-.22,-.17,-1.05
1917,-.46,-.58,-.35,-.50,-.63,-.19,-.80,-.50,-.44,-.69,-.56,-.22,-.09,.06
1918,-.30,-.40,-.19,-.41,-.33,-.13,-.99,-.27,-.36,-.39,-.27,-.05,-.23,-.28
1919,-.28,-.35,-.20,-.44,-.20,-.22,-.69,-.56,-.31,-.23,-.16,-.14,-.32,.20
1920,-.27,-.31,-.23,-.26,-.25,-.32,.01,-.20,-.36,-.38,-.12,-.18,-.48,-1.14
